Epoch,Train_Loss,Val_Loss
1,2.2053525977664523,2.2638232707977295
2,2.1236415571636624,2.1756739616394043
3,2.060204161538018,2.110467274983724
4,2.0071800682279797,2.0540857315063477
5,1.9576868878470526,2.001083731651306
6,1.9170162545310125,1.9591684738794963
7,1.8823174900478787,1.924421787261963
8,1.8637773858176336,1.9104825258255005
9,1.8582868840959337,1.9093733231226604
10,1.8593039909998577,1.9100708961486816
11,1.858318527539571,1.9100026686986287
12,1.8569209840562608,1.9090607166290283
13,1.8580046892166138,1.9079391558965046
14,1.858321746190389,1.9098774989446003
15,1.859337912665473,1.9086106618245442
16,1.8589445220099554,1.9068004687627156
17,1.859318110677931,1.9095492760340373
18,1.85855151547326,1.9084179004033406
19,1.8608091672261555,1.9077165921529133
20,1.858129858970642,1.9092984994252522
21,1.8603369394938152,1.9103231032689412
22,1.8590895997153387,1.907535711924235
23,1.8578700357013278,1.906502604484558
24,1.8579323026869032,1.9089136918385823
25,1.8582337962256537,1.908917744954427
26,1.8595117065641615,1.9083552757898967
27,1.8582211865319147,1.906141996383667
28,1.8581713040669758,1.9078948497772217
29,1.8595958683225844,1.9091696341832478
30,1.8585128254360623,1.9074769020080566
31,1.8586684465408325,1.9075992902119954
32,1.857991682158576,1.906908392906189
33,1.8590021663241916,1.9061065912246704
34,1.858154985639784,1.9074853261311848
35,1.8584465715620253,1.9086672067642212
36,1.8575172026952107,1.9067296584447224
37,1.858435869216919,1.9061918656031291
38,1.8577455812030368,1.9075566530227661
39,1.8583604494730632,1.9063781102498372
40,1.8586248424318101,1.9074310064315796
41,1.8581681119071112,1.9060956239700317
42,1.8580439223183527,1.9066468079884846
43,1.8574092520607843,1.9069407780965169
44,1.857862287097507,1.9063562949498494
45,1.8586908446417914,1.9076769749323528
46,1.8588327434327867,1.9065649112065632
47,1.858261267344157,1.9061301549275715
48,1.8580248355865479,1.9069361686706543
49,1.858483870824178,1.9063955545425415
50,1.8578774399227567,1.907764196395874
