Epoch,Train_Loss,Val_Loss
1,2.1103910870022244,2.0635079542795816
2,1.917516483200921,1.925748070081075
3,1.8798365063137479,1.9304865598678589
4,1.8730955521265666,1.9100035429000854
5,1.8615245951546564,1.9111921787261963
6,1.864114032851325,1.9092461268107097
7,1.8611055082745023,1.9058008193969727
8,1.8612798187467787,1.9130502541859944
9,1.8592864010069106,1.9045080343882244
10,1.8595321708255343,1.9081318378448486
11,1.858593742052714,1.9041398763656616
12,1.857862565252516,1.9047304391860962
13,1.8583588600158691,1.9077869256337483
14,1.859705646832784,1.903656045595805
15,1.8605571058061388,1.9019238551457722
16,1.858366224500868,1.9067691961924236
17,1.8592528104782104,1.9044323762257893
18,1.8599725166956584,1.9033764998118083
19,1.8614037964079115,1.9073829253514607
20,1.8584324253929987,1.902941107749939
21,1.8601397540834215,1.9053421417872112
22,1.8584437900119357,1.9025449752807617
23,1.8571717606650457,1.902113954226176
24,1.8568678696950276,1.9046042760213215
25,1.8569854762819078,1.9027961492538452
26,1.8591381443871393,1.9025571743647258
27,1.8587180508507624,1.9032448927561443
28,1.8588510619269476,1.9059124390284221
29,1.858149528503418,1.9011090993881226
30,1.8592524528503418,1.9044284423192341
31,1.8591801987753973,1.9002515872319539
32,1.8582131995095148,1.903744101524353
33,1.858768383661906,1.9014265934626262
34,1.856947316063775,1.9035674333572388
35,1.8567538658777873,1.900840441385905
36,1.8563186062706842,1.9031402667363484
37,1.8582673999998305,1.9017618894577026
38,1.857052617602878,1.9023213783899944
39,1.859090765317281,1.9024712642033894
40,1.8594564199447632,1.903369625409444
41,1.857826378610399,1.901485840479533
42,1.8594462606641982,1.9042279720306396
43,1.8563292423884075,1.9008130232493083
44,1.8575622373157077,1.9015755256017048
45,1.8583888080384996,1.9047261873881023
46,1.858696738878886,1.901673158009847
47,1.8581923908657498,1.9037514925003052
48,1.85708396964603,1.9030260642369587
49,1.8578218619028728,1.9029703537623088
50,1.8575249777899847,1.9019794464111328
