Epoch,Train_Loss,Val_Loss
1,6.5243204434712725,5.833291689554851
2,5.660273181067573,5.75503667195638
3,5.570145554012722,5.57291825612386
4,5.530040158165826,5.5543748537699384
5,5.438481224907769,5.51339864730835
6,5.505230638715956,5.578857421875
7,5.466145939297146,5.4941056569417315
8,5.461569786071777,5.497212727864583
9,5.470875528123644,5.516212781270345
10,5.467903772989909,5.577582041422526
11,5.465006351470947,5.47209898630778
12,5.474877569410536,5.498304684956868
13,5.444847000969781,5.5244269371032715
14,5.498357560899523,5.48350461324056
15,5.515102174546984,5.538626670837402
16,5.500445948706733,5.531320730845134
17,5.455331802368164,5.539490699768066
18,5.448371940188938,5.484041055043538
19,5.46195454067654,5.480522155761719
20,5.485282103220622,5.521287441253662
21,5.480374707116021,5.49894380569458
22,5.455031500922309,5.507712523142497
23,5.4487828148735895,5.515794277191162
24,5.441236442989773,5.498305002848308
25,5.4916115336947975,5.50621239344279
26,5.46189530690511,5.511654535929362
27,5.441302299499512,5.493812878926595
28,5.481927765740289,5.551188309987386
29,5.516137599945068,5.515599091847737
30,5.536029391818577,5.525920232137044
31,5.427850087483724,5.549289703369141
32,5.461947335137261,5.4678317705790205
33,5.455405394236247,5.482925891876221
34,5.506913714938694,5.489020347595215
35,5.457780520121257,5.577731450398763
36,5.439964612325032,5.490349292755127
37,5.5445595317416725,5.485635280609131
38,5.453557544284397,5.452422142028809
39,5.492252561781141,5.587552070617676
40,5.521617730458577,5.399820804595947
41,5.532337665557861,5.634433428446452
42,5.461092101203071,5.482253392537435
43,5.4592443572150335,5.447185357411702
44,5.417925251854791,5.4897613525390625
45,5.436920007069905,5.55348269144694
46,5.45194943745931,5.45294189453125
47,5.41535743077596,5.488818963368733
48,5.44460916519165,5.475369930267334
49,5.451743867662218,5.490721384684245
50,5.4513744248284235,5.450977484385173
