Epoch,Train_Loss,Val_Loss
1,19.16496467590332,18.243155479431152
2,17.522247314453125,16.772480010986328
3,16.108549276987713,15.338427543640137
4,14.629134178161621,13.958710670471191
5,13.24753967920939,12.65552806854248
6,12.065905729929606,11.455368518829346
7,10.777880827585856,10.395215511322021
8,9.629926681518555,9.516919612884521
9,8.903316179911295,8.838648796081543
10,8.20678424835205,8.347230434417725
11,7.815983057022095,7.990313768386841
12,7.335785388946533,7.704417705535889
13,7.051149447758992,7.464609622955322
14,6.818160931269328,7.256421327590942
15,6.587509552637736,7.085544109344482
16,6.502767006556193,6.9588000774383545
17,6.295167843500773,6.857879638671875
18,6.22817850112915,6.7872536182403564
19,6.130110502243042,6.729674339294434
20,6.0717713832855225,6.69087553024292
21,6.043917814890544,6.671079158782959
22,6.062365611394246,6.653705835342407
23,6.094561735788981,6.638422012329102
24,5.952572027842204,6.6174092292785645
25,5.926013867060344,6.603017091751099
26,5.851179679234822,6.594015836715698
27,5.818571090698242,6.586513996124268
28,5.961506764094035,6.58525013923645
29,5.834527174631755,6.578475713729858
30,5.907695293426514,6.569502115249634
31,5.8834225336710615,6.559562921524048
32,5.878832737604777,6.548818588256836
33,5.964025100072225,6.541704416275024
34,5.901454051335652,6.5311479568481445
35,5.84726357460022,6.5244176387786865
36,5.825124740600586,6.523108720779419
37,5.755674282709758,6.516270875930786
38,5.801131010055542,6.516629219055176
39,5.838289896647136,6.517069101333618
40,5.784598668416341,6.510592460632324
41,5.834896008173625,6.503465175628662
42,5.739586432774861,6.495795249938965
43,5.838570753733317,6.494934320449829
44,5.857205788294475,6.506552696228027
45,5.795290629069011,6.498373031616211
46,5.7996879418691,6.499157428741455
47,5.801340500513713,6.492381811141968
48,5.800643444061279,6.490723609924316
49,5.773527065912883,6.493161201477051
50,5.793399969736735,6.484017372131348
