Epoch,Train_Loss,Val_Loss
1,2.0203337934282093,1.9183721542358398
2,1.8934783140818279,1.9280966917673747
3,1.8682032426198323,1.9111955960591633
4,1.861285408337911,1.9075611035029094
5,1.8647942543029785,1.9102197885513306
6,1.8600290086534288,1.9177789290746052
7,1.8616384002897475,1.908423622449239
8,1.8591908878750272,1.9111111958821614
9,1.860239691204495,1.9068844715754192
10,1.8624935679965549,1.9038338661193848
11,1.8606875207689073,1.9183170398076375
12,1.8626328971650865,1.9064472516377766
13,1.8610064718458388,1.9030089378356934
14,1.858533912234836,1.9108301798502605
15,1.858425948354933,1.9039457241694133
16,1.8595714966456096,1.908158580462138
17,1.858746223979526,1.9074525038401287
18,1.8601738346947565,1.9018614292144775
19,1.8610826995637682,1.916159192721049
20,1.8613310522503324,1.9066710869471233
21,1.859856817457411,1.905964692433675
22,1.8578362464904785,1.9075160423914592
23,1.8598193460040622,1.9024489323298137
24,1.8649578889211018,1.905880053838094
25,1.8609535826577082,1.906111240386963
26,1.864911609225803,1.9090607166290283
27,1.8644400040308635,1.910955508550008
28,1.8614401949776544,1.9024242560068767
29,1.8604394065009222,1.9182835817337036
30,1.8591359456380208,1.9019461870193481
31,1.8592159085803561,1.9115389982859294
32,1.863470435142517,1.9113459587097168
33,1.8592560821109347,1.9006810585657756
34,1.86176594098409,1.9132086038589478
35,1.860933542251587,1.904439647992452
36,1.8571523163053725,1.903128981590271
37,1.8625106811523438,1.9100557963053386
38,1.864201373524136,1.9011226097742717
39,1.8609969880845811,1.9072047869364421
40,1.8575365675820246,1.9009383916854858
41,1.8572704394658406,1.906353274981181
42,1.8595127132203844,1.9015670617421467
43,1.8596976200739543,1.908408284187317
44,1.8579545153511896,1.8998301426569622
45,1.8625907368130155,1.9090285698572795
46,1.8614348305596247,1.9031997124354045
47,1.8604617383744981,1.9014957745869954
48,1.8568155235714383,1.9080352385838826
49,1.860267612669203,1.9019490480422974
50,1.8585535022947524,1.9057396252950032
