Epoch,Train_Loss,Val_Loss
1,1.9585847457249959,2.014842391014099
2,1.935865388976203,1.9784926573435466
3,1.9064198070102267,1.9475152889887493
4,1.8965852393044367,1.926807125409444
5,1.879703336291843,1.9144456783930461
6,1.878661380873786,1.9083578983942668
7,1.871869617038303,1.907124121983846
8,1.8681243790520563,1.9069195191065471
9,1.8761913776397705,1.9070566097895305
10,1.8734025557835896,1.9065234661102295
11,1.8769448068406847,1.907099445660909
12,1.8796861171722412,1.9074267148971558
13,1.8694832722345989,1.9066290458043416
14,1.8755487071143255,1.9055681626001995
15,1.8777000374264188,1.9057554801305134
16,1.867286655637953,1.906022032101949
17,1.8732337024476793,1.9066842397054036
18,1.8658253351847331,1.9067569971084595
19,1.8710352579752605,1.9060343901316326
20,1.8761107921600342,1.9058716297149658
21,1.869167274898953,1.9062668085098267
22,1.8765699201160007,1.906205375989278
23,1.8669510152604845,1.906140128771464
24,1.8697766595416598,1.9059826930363972
25,1.8726809819539387,1.9060848951339722
26,1.8692311578326755,1.9057159026463826
27,1.8754635784361098,1.9068156480789185
28,1.8689016501108806,1.906474192937215
29,1.8652796745300293,1.9061404863993328
30,1.8745471503999498,1.9057509104410808
31,1.874016523361206,1.9055319627126057
32,1.870011077986823,1.9056217273076375
33,1.8671913544336955,1.905999779701233
34,1.8719727198282878,1.905568281809489
35,1.8693707519107394,1.9055455923080444
36,1.8687202003267076,1.9056296745936077
37,1.8688675827450223,1.9058217604955037
38,1.8712672260072496,1.9053170680999756
39,1.8682958285013835,1.9064446687698364
40,1.8697186046176486,1.9058513243993123
41,1.8683284521102905,1.9052975575129192
42,1.873518943786621,1.9056476751963298
43,1.8707685338126288,1.9053211212158203
44,1.8710652987162273,1.9050395886103313
45,1.8695078425937228,1.905250867207845
46,1.8701964484320746,1.9056983788808186
47,1.868779977162679,1.9060941139856975
48,1.8668219645818074,1.90519384543101
49,1.8698156542248197,1.9064143498738606
50,1.8714502917395697,1.9056274890899658
