Epoch,Train_Loss,Val_Loss
1,14.516089057922363,13.590896606445312
2,14.507556915283203,12.843445301055908
3,13.212220001220704,12.134047985076904
4,11.997698402404785,11.487302303314209
5,11.916845703125,10.903565406799316
6,11.349685287475586,10.363343715667725
7,10.168886756896972,9.875446319580078
8,10.152472305297852,9.44118881225586
9,9.30882453918457,9.072537422180176
10,9.024944496154784,8.762471199035645
11,8.294854831695556,8.519892692565918
12,8.042055606842041,8.321349143981934
13,7.8979288101196286,8.171464443206787
14,7.512867641448975,8.054917335510254
15,7.423195648193359,7.9519569873809814
16,7.28110523223877,7.864746809005737
17,6.9873734474182125,7.789824962615967
18,7.0686766624450685,7.748263120651245
19,7.1688769340515135,7.71347975730896
20,6.822840023040771,7.694677829742432
21,6.704685688018799,7.665360689163208
22,6.851243782043457,7.653543472290039
23,6.78528995513916,7.632368803024292
24,6.636870002746582,7.632571697235107
25,6.587776565551758,7.647366523742676
26,6.5390856742858885,7.646801233291626
27,6.635046005249023,7.654199838638306
28,6.8887909889221195,7.669702053070068
29,6.522085475921631,7.686626672744751
30,6.722099018096924,7.7043561935424805
31,6.4742350578308105,7.715519905090332
32,6.483149623870849,7.7235071659088135
33,6.813042640686035,7.726448059082031
34,6.467283725738525,7.717044353485107
35,6.570259094238281,7.71370267868042
36,6.528324317932129,7.698260545730591
37,6.492156314849853,7.692868232727051
38,6.529852676391601,7.668548107147217
39,6.816890907287598,7.650142431259155
40,6.658837604522705,7.6448163986206055
41,6.664071846008301,7.652521371841431
42,6.431887435913086,7.684309482574463
43,6.461231422424317,7.671159267425537
44,6.438747882843018,7.6569414138793945
45,6.6356607437133786,7.664816856384277
46,6.442409324645996,7.658693790435791
47,6.385813522338867,7.65978217124939
48,6.953588771820068,7.6541032791137695
49,6.465867614746093,7.6509621143341064
50,6.635307025909424,7.638066053390503
