Epoch,Train_Loss,Val_Loss
1,3.2781289418538413,3.8578439950942993
2,3.0884730021158853,3.641804814338684
3,2.9794904788335166,3.610335946083069
4,2.9371428887049356,3.625176787376404
5,3.0209313233693442,3.64260733127594
6,2.9216644366582236,3.578993797302246
7,2.9137911399205527,3.5668407678604126
8,2.8411842385927835,3.5907691717147827
9,2.998560984929403,3.583288073539734
10,2.8972860177357993,3.565464496612549
11,3.16677725315094,3.580249071121216
12,3.058454910914103,3.6242581605911255
13,2.8666540582974753,3.5776185989379883
14,2.8995001912117004,3.5727195739746094
15,2.8736907641092935,3.5794609785079956
16,3.0464895566304526,3.5993525981903076
17,2.9031810959180198,3.557743549346924
18,2.8557945489883423,3.5646910667419434
19,2.9096447825431824,3.580232858657837
20,2.8555864493052163,3.596077084541321
21,2.8805824915568032,3.5810803174972534
22,2.935292919476827,3.565330982208252
23,2.9643445213635764,3.5978095531463623
24,2.8966070810953775,3.5847595930099487
25,2.9030460516611734,3.5674524307250977
26,2.8387221296628318,3.5523566007614136
27,2.800644258658091,3.557592749595642
28,3.0307517051696777,3.5685741901397705
29,2.8266956011454263,3.598524332046509
30,2.8875742157300315,3.5708283185958862
31,2.898172895113627,3.5469168424606323
32,2.914535641670227,3.5581490993499756
33,3.0424497922261557,3.5691710710525513
34,2.966849764188131,3.5529061555862427
35,2.843739926815033,3.586813807487488
36,2.973873813947042,3.5753719806671143
37,2.809981862703959,3.4832009077072144
38,2.8262904286384583,3.524245262145996
39,2.8359697461128235,3.5406601428985596
40,2.8715357780456543,3.5579954385757446
41,2.842839082082113,3.543228030204773
42,2.8138739665349326,3.5159436464309692
43,2.9406233628590903,3.5327008962631226
44,3.123159408569336,3.534311532974243
45,2.864148656527201,3.478417158126831
46,2.8916134436925254,3.533714175224304
47,2.8670589526494346,3.523373246192932
48,2.8682605028152466,3.498885154724121
49,2.802108188470205,3.5055079460144043
50,2.9434266487757363,3.5008400678634644
51,2.7588656346003213,3.4446665048599243
52,2.9487810134887695,3.4782644510269165
53,2.8236780166625977,3.433592677116394
54,2.8546244700749717,3.5101770162582397
55,2.8198479612668357,3.53371524810791
56,2.7269456585248313,3.4769678115844727
57,2.7815926671028137,3.425908923149109
58,2.752850353717804,3.4502159357070923
59,2.85055681069692,3.461190938949585
60,2.7786655823389688,3.4628931283950806
61,2.709335724512736,3.476782202720642
62,2.7547343373298645,3.4423372745513916
63,2.8597992062568665,3.4111586809158325
64,2.892303725083669,3.4469434022903442
65,2.720516562461853,3.434585213661194
66,2.7301207383473716,3.4362852573394775
67,2.7211476961771646,3.417505383491516
68,2.9448336362838745,3.4018993377685547
69,2.7561823527018228,3.4453787803649902
70,2.787708123524984,3.4717564582824707
71,2.744278291861216,3.4168347120285034
72,2.819503823916117,3.36478054523468
73,3.0596567193667092,3.4152889251708984
74,2.7461204528808594,3.4016648530960083
75,2.8086577455202737,3.3985390663146973
76,2.7633437712987265,3.3983577489852905
77,2.757750630378723,3.3791911602020264
78,2.699820578098297,3.3983131647109985
79,2.698194205760956,3.4123295545578003
80,3.2583680550257363,3.4177974462509155
